ID,Length
A01A_1_078,84
A01A_1_049,29
A04D_1_163,60
A04D_1_164,105
A04D_1_004,57
A04D_1_002,49
A04D_1_145,90
A04D_1_160,120
A04D_1_159,100
A04D_1_136,90
A04D_1_062,60
A04D_1_061,60
A04D_1_104,100
A04D_1_074,61
A04D_1_113,153
A04D_1_057,50
A04D_1_075,60
A04D_1_083,90
A04D_1_053,123
A04D_1_078,70
A04D_1_054,40
A04D_1_147,100
A04D_1_022,108
A04D_1_016,302
A04D_1_148,80
A04D_1_166,75
A04D_1_018,96
A04D_1_005,207
A04D_1_165,82
A04D_1_033,50
A04D_1_140,70
A05A_1_073,65
A05A_1_113,101
A05A_1_116,100
A05A_1_048,47
A05A_1_159,70
A05A_1_164,40
A05A_1_028,63
A05A_1_175,152
A05A_1_188,51
A05A_1_003,91
A05A_1_017,46
A05A_1_189,110
A05A_1_190,99
A05A_1_184,43
A05A_1_027,79
A05A_1_032,102
A05A_1_026,29
A05A_1_152,40
A05A_1_187,91
A05A_1_150,186
A05A_1_018,48
A05A_1_031,52
A05A_1_179,138
A05A_1_182,154
A05A_1_020,44
A05A_1_143,81
A05A_1_124,40
A05A_1_046,156
A05A_1_052,93
A05A_1_126,50
A05A_1_081,112
A05A_1_069,43
A05A_1_083,50
A05A_1_108,60
A05B_1_117,50
A05B_1_042,43
A05B_1_048,90
A05B_1_124,48
A05B_1_088,80
A05B_1_125,60
A05B_1_040,70
A05B_1_093,70
A05B_1_132,40
A05B_1_039,83
A05B_1_080,71
A05B_1_094,43
A05B_1_024,96
A05B_1_151,130
A05B_1_143,100
A05B_1_029,85
A05B_1_022,51
A05B_1_141,70
A05B_1_018,40
A05B_1_155,60
A05B_1_020,135
A05B_1_034,80
A05B_1_005,50
A05B_1_004,40
A05B_1_164,79
A05B_1_156,40
A05B_1_162,64
A05B_1_009,50
A05B_1_026,43
A05B_1_001,66
A05B_1_015,40
A05B_1_161,60
A05B_1_103,100
A05B_1_111,60
A05B_1_105,80
A05B_1_096,90
A05B_1_065,41
A05B_1_071,130
A05B_1_070,70
A05B_1_061,145
A05B_1_086,52
A05B_1_073,48
A05B_1_059,70
A05B_1_058,81
A05C_1_026,198
A05C_1_147,50
A05C_1_031,80
A05C_1_179,92
A05C_1_178,230
A05C_1_018,60
A05C_1_024,80
A05C_1_021,90
A05C_1_023,400
A05C_1_022,90
A05C_1_036,160
A05C_1_080,50
A05C_1_081,50
A05C_1_069,365
A05C_1_112,140
A05C_1_066,40
A05C_1_061,80
A05C_1_158,95
A05C_1_175,240
A05C_1_174,60
A05C_1_148,40
A05C_1_003,190
A05D_1_119,49
A05D_1_118,50
A05D_1_094,87
A05D_1_051,47
A05D_1_130,75
A05D_1_082,80
A05D_1_018,97
A05D_1_006,109
A05D_1_139,80
A05D_1_024,51
A05D_1_144,56
A05D_1_143,80
A05D_1_027,238
A05D_1_021,368
A05D_1_142,60
A05D_1_022,353
A05D_1_016,259
A05D_1_009,33
A05D_1_002,44
A05D_1_113,64
A05D_1_097,41
A05D_1_126,91
A05D_1_046,56
A05D_1_109,60
A05D_1_110,90
A05D_1_064,40
A06A_1_123,46
A06A_1_081,63
A06A_1_080,59
A06A_1_043,51
A06A_1_122,105
A06A_1_134,63
A06A_1_068,80
A06A_1_083,60
A06A_1_082,159
A06A_1_041,59
A06A_1_135,238
A06A_1_078,60
A06A_1_124,61
A06A_1_047,46
A06A_1_154,101
A06A_1_020,68
A06A_1_194,122
A06A_1_023,93
A06A_1_022,362
A06A_1_156,139
A06A_1_026,70
A06A_1_025,90
A06A_1_024,59
A06A_1_018,70
A06A_1_175,52
A06A_1_161,96
A06A_1_203,121
A06A_1_028,40
A06A_1_002,46
A06A_1_003,143
A06A_1_205,46
A06A_1_188,110
A06A_1_204,51
A06A_1_199,61
A06A_1_166,105
A06A_1_206,124
A06A_1_005,85
A06A_1_088,45
A06A_1_115,77
A06B_1_104,62
A06B_1_117,160
A06B_1_088,116
A06B_1_106,166
A06B_1_148,59
A06B_1_149,66
A06B_1_006,124
A06B_1_007,42
A06B_1_005,52
A06B_1_038,47
A06B_1_021,73
A06B_1_022,80
A06B_1_027,44
A06B_1_032,251
A06B_1_140,49
A06B_1_026,86
A06B_1_150,82
A06B_1_025,234
A06B_1_031,34
A06B_1_043,210
A06B_1_135,130
A06B_1_069,260
A06B_1_124,180
A06B_1_078,201
A06B_1_044,138
A06B_1_087,80
A06B_1_092,118
A06B_1_045,60
A06B_1_119,68
A06B_1_047,69
A06B_1_091,100
A06C_1_160,390
A06C_1_165,125
A06C_1_001,70
A06C_1_187,110
A06C_1_198,89
A06C_1_158,80
A06C_1_003,87
A06C_1_076,150
A06C_1_062,150
A06C_1_101,130
A06C_1_074,79
A06C_1_058,50
A06C_1_137,140
A06C_1_103,70
A06C_1_057,40
A06C_1_063,125
A06C_1_065,105
A06C_1_055,180
A06C_1_121,160
A06C_1_122,68
A06C_1_082,130
A06C_1_053,105
A06C_1_049,70
A06C_1_129,229
A06C_1_078,135
A06C_1_050,90
A06C_1_083,78
A06C_1_034,45
A06C_1_195,59
A06C_1_007,83
A06C_1_194,180
A06C_1_156,150
A06C_1_022,40
A06C_1_026,40
A06C_1_025,129
A06C_1_023,159
A06C_1_149,40
A06C_1_186,174
A06C_1_024,49
A06C_1_030,80
A06D_1_064,87
A06D_1_105,68
A06D_1_059,94
A06D_1_071,93
A06D_1_116,81
A06D_1_005,56
A06D_1_029,55
A06D_1_028,118
A06D_1_002,65
A06D_1_003,114
A06D_1_027,101
A06D_1_025,55
A06D_1_030,66
A06D_1_020,53
A06D_1_009,78
A06D_1_022,49
A06D_1_094,91
A06D_1_055,99
A06D_1_056,159
A06D_1_082,84
A06D_1_096,80
A07A_1_039,70
A07A_1_006,104
A07A_1_149,35
A07A_1_029,65
A07A_1_018,42
A07A_1_004,105
A07A_1_071,84
A07A_1_140,161
A07A_1_068,69
A07A_1_064,223
A07A_1_050,37
A07A_1_102,52
A07A_1_049,100
A07A_1_093,110
A07A_1_126,90
A07A_1_086,68
A07A_1_127,59
A07A_1_048,110
A07A_1_082,281
A07A_1_122,247
A07A_1_033,61
A07A_1_147,190
A07A_1_148,272
A07A_1_026,53
A07A_1_152,94
A07A_1_031,63
A07A_1_141,80
A07A_1_023,42
A07B_1_027,65
A07B_1_146,168
A07B_1_144,119
A07B_1_145,39
A07B_1_019,60
A07B_1_021,58
A07B_1_141,60
A07B_1_140,271
A07B_1_142,229
A07B_1_143,39
A07B_1_078,120
A07B_1_044,50
A07B_1_087,82
A07B_1_124,176
A07B_1_131,429
A07B_1_047,60
A07B_1_133,190
A07B_1_052,90
A07B_1_122,338
A07B_1_057,80
A07B_1_043,108
A07B_1_069,50
A07B_1_108,230
A07B_1_120,110
A07B_1_068,80
A07B_1_059,41
A07B_1_104,112
A07B_1_138,300
A07B_1_072,90
A07B_1_113,538
A07B_1_114,68
A07B_1_101,125
A07B_1_005,70
A07B_1_028,36
A07B_1_001,60
A07B_1_003,35
A07B_1_002,95
A17E_1_164,156
A17E_1_170,97
A17E_1_171,234
A17E_1_165,82
A17E_1_006,43
A17E_1_166,58
A17E_1_002,77
A17E_1_147,73
A17E_1_159,70
A17E_1_027,104
A17E_1_160,27
A17E_1_071,33
A17E_1_066,56
A17E_1_099,40
A17E_1_047,47
A17E_1_059,161
A17E_1_048,32
A17E_1_102,124
A17E_1_087,167
A17E_1_101,42
A17E_1_052,125
A17E_1_051,56
A17E_1_084,33
A17E_1_123,80
A17E_1_086,59
A17E_1_077,37
A17E_1_050,92
A17E_1_081,34
A17E_1_095,73
A17E_1_107,47
A17E_1_053,104
A17E_1_041,57
A17E_1_056,72
A17E_1_023,90
A17E_1_168,183
A17E_1_019,56
A17E_1_167,103
A19E_1_042,97
A19E_1_041,121
A19E_1_024,63
A19E_1_108,110
A19E_1_093,95
A19E_1_090,96
A19E_1_117,170
A19E_1_063,70
A19E_1_049,199
A19E_1_064,151
A19E_1_028,50
A19E_1_065,61
A19E_1_003,141
A19E_2_083,67
A19E_2_097,80
A19E_2_078,70
A19E_2_095,80
A19E_2_023,108
A19E_2_008,112
A19E_2_020,70
A19E_2_034,80
A19E_2_004,110
A19E_2_038,91
A19E_2_101,80
A19E_2_049,61
A19E_2_102,70
A19E_2_099,71
A19E_2_064,150
A19E_2_105,120
A07C_1_078,91
A07C_1_086,117
A07C_1_057,57
A07C_1_068,96
A07C_1_019,220
A07C_1_006,102
A07C_1_005,75
A07C_1_004,44
A07C_1_014,54
A07C_1_002,100
A07C_1_058,171
A07C_1_107,198
A07C_1_077,98
A07C_1_076,84
A07C_1_060,82
A07C_1_101,160
A08C_1_024,71
A08C_1_018,115
A08C_1_034,42
A08C_1_082,82
A08C_1_054,141
A08C_1_094,77
A08C_1_098,157
A08C_1_048,60
A08C_1_003,70
A08C_1_005,63
A08C_1_016,52
A08C_1_027,51
A12E_2_047,129
A12E_2_111,50
A12E_2_063,70
A12E_2_109,77
A12E_2_200,60
A12E_2_214,108
A12E_2_002,55
A12E_2_213,60
A12E_2_188,45
A12E_2_147,75
A12E_2_206,80
A12E_2_211,65
A12E_2_208,90
A12E_2_193,60
A12E_2_020,40
A12E_2_019,41
A12E_2_182,50
A12E_2_023,84
A12E_2_024,43
A12E_2_144,30
A12E_2_152,50
A12E_2_081,50
A12E_2_095,55
A12E_2_039,85
A12E_2_107,140
A12E_2_041,51
A12E_2_083,90
A12E_2_084,105
A12E_2_043,120
A12E_2_049,37
A12E_2_050,40
A12E_2_044,30
A12E_2_078,52
A12E_2_091,73
A11E_2_044,45
A11E_2_076,50
A11E_2_084,52
A11E_2_080,38
A11E_2_106,38
A11E_2_077,34
A11E_2_091,46
A11E_2_092,29
A11E_2_176,77
A11E_2_022,23
A11E_2_184,102
A11E_2_190,50
A11E_2_030,97
A11E_2_181,155
A11E_2_206,46
A11E_2_192,43
A11E_2_178,40
A11E_2_005,82
A11E_2_219,70
A11E_2_220,33
A11E_2_032,37
A11E_2_035,62
A11E_2_168,51
A11E_2_210,101
A11E_2_208,60
A11E_2_211,53
A11E_2_026,50
A11E_2_171,35
A11E_2_104,60
A11E_2_070,47
A11E_2_067,29
A11E_2_061,95
A11E_2_108,40
A11E_2_112,34
A11E_2_058,40
A11E_2_097,25
A11E_1_023,28
A11E_1_149,26
A11E_1_150,93
A11E_1_148,100
A11E_1_151,42
A11E_1_019,150
A11E_1_217,47
A11E_1_244,85
A11E_1_083,41
A11E_1_048,69
A11E_1_049,129
A11E_1_129,64
A11E_1_124,96
A11E_1_242,60
A11E_1_093,28
A11E_1_254,41
A11E_1_135,229
A11E_1_108,22
A11E_1_068,46
A11E_1_256,44
A11E_1_064,21
A11E_1_096,28
A11E_1_261,74
A11E_1_255,37
A11E_1_245,37
A11E_1_086,25
A11E_1_113,63
A11E_1_099,42
A11E_1_114,51
A11E_1_246,37
A11E_1_258,34
A11E_1_260,29
A11E_1_072,55
A11E_1_046,83
A11E_1_111,90
A11E_1_045,61
A11E_1_207,49
A11E_1_002,66
A13E_1_092,39
A13E_1_319,40
A13E_1_242,50
A13E_1_293,54
A13E_1_241,90
A13E_1_119,30
A13E_1_025,151
A13E_1_031,173
A13E_1_029,40
A13E_1_020,61
A13E_1_021,55
A13E_1_022,40
A13E_1_179,40
A13E_1_370,67
A13E_1_364,64
A13E_1_169,80
A13E_1_361,70
A13E_1_374,65
A13E_1_200,13
A13E_1_373,75
A13E_2_017,94
A13E_2_018,54
A13E_2_207,100
A13E_2_208,57
A13E_2_168,40
A13E_2_182,49
A13E_2_131,75
A13E_2_078,42
A13E_2_133,36
A13E_2_135,24
A13E_2_042,50
A13E_2_061,40
A13E_2_004,124
A13E_2_003,40
A13E_2_205,46
A13E_2_209,82
A13E_2_204,44
A13E_2_200,91
A13E_2_002,38
A13E_2_015,50
A13E_2_199,70
A13E_2_201,60
A13E_2_202,50
A10E_1_259,94
A10E_1_247,149
A10E_1_248,91
A10E_1_114,40
A10E_1_074,43
A10E_1_048,25
A10E_1_059,71
A10E_1_261,64
A10E_1_109,53
A10E_1_104,47
A10E_1_110,71
A10E_1_097,71
A10E_1_148,20
A10E_1_014,60
A10E_1_001,22
A10E_1_002,44
A10E_1_200,37
A10E_1_003,28
A10E_1_139,28
A10E_1_020,80
A10E_1_140,98
A10E_1_022,21
A10E_1_035,73
A10E_1_021,39
A10E_1_141,94
A10E_1_144,40
A10E_1_226,50
A10E_1_023,108
A10E_1_192,55
A10E_1_079,73
A10E_1_056,62
A10E_1_041,40
A10E_1_253,60
A10E_1_249,67
A10E_1_250,77
A14E_2_051,220
A14E_2_048,75
A14E_2_117,97
A14E_2_139,69
A14E_2_021,89
A14E_2_183,67
A14E_2_188,27
A14E_2_031,65
A14E_2_023,58
A14E_2_148,40
A14E_2_185,102
A14E_2_215,52
A14E_2_147,198
A14E_2_158,44
A14E_2_214,50
A14E_2_212,67
A14E_2_187,44
A14E_2_174,103
A14E_2_186,75
A14E_2_001,65
A14E_2_005,90
A14E_2_087,40
A14E_2_075,114
A14E_2_086,100
A14E_2_127,40
A14E_2_058,80
A14E_2_072,101
A14E_2_046,56
A14E_2_108,181
A15E_1_111,40
A15E_1_105,55
A15E_1_097,129
A15E_1_110,119
A15E_1_102,130
A15E_1_059,52
A15E_1_127,60
A15E_1_112,250
A15E_1_058,128
A15E_1_115,100
A15E_1_075,80
A15E_1_204,62
A15E_1_002,149
A15E_1_162,60
A15E_1_157,80
A15E_1_169,41
A15E_1_163,50
A15E_1_205,100
A15E_1_211,49
A15E_1_004,83
A15E_1_212,61
A15E_1_013,50
A15E_1_147,40
A15E_1_159,73
A15E_1_026,80
A15E_1_214,40
A15E_1_190,182
A15E_1_022,52
A15E_1_028,119
A15E_1_224,92
A15E_1_222,65
A15E_1_207,49
A15E_1_021,49
A15E_1_178,40
A15E_1_179,40
A15E_1_193,93
A15E_1_154,60
A15E_1_206,40
A15E_1_220,117
A15E_1_138,60
A15E_1_181,40
A15E_1_167,250
A15E_1_221,64
A15E_1_083,60
A15E_1_124,70
A15E_1_082,66
A15E_1_129,60
A15E_1_116,110
A15E_1_076,40
A15E_1_052,90
A15E_1_067,52
A15E_1_055,86
A15E_1_078,150
A15E_1_079,73
A15E_2_004,40
A15E_2_001,74
A15E_2_167,56
A15E_2_156,50
A15E_2_186,100
A15E_2_136,230
A15E_2_063,74
A15E_2_073,80
A15E_2_100,50
A15E_2_046,66
A15E_2_072,55
A15E_2_071,43
A15E_2_097,292
A15E_2_115,40
A15E_2_121,51
A15E_2_131,130
A15E_2_080,60
A15E_2_051,63
A15E_2_023,216
A15E_2_030,72
A15E_2_187,50
A15E_2_183,70
A15E_2_142,78
A15E_2_175,130
A15E_2_180,116
A15E_2_137,334
A15E_2_005,50
A15E_2_178,120
A12E_1_014,92
A12E_1_188,141
A12E_1_149,200
A12E_1_028,176
A12E_1_002,69
A12E_1_006,68
A12E_1_013,37
A12E_1_062,160
A12E_1_076,85
A12E_1_048,63
A12E_1_115,51
A12E_1_065,77
A12E_1_105,101
A12E_1_070,69
A12E_1_064,72
A12E_1_042,90
A12E_1_094,79
A12E_1_108,100
A12E_1_120,70
A12E_1_047,70
A12E_1_090,79
A12E_1_046,76
A12E_1_052,70
A12E_1_154,127
A12E_1_142,85
A12E_1_143,56
A12E_1_147,102
A12E_1_185,125
A12E_1_191,86
A12E_1_018,47
A12E_1_024,105
A12E_1_193,100
A12E_1_192,95
A12E_1_025,40
A08B_1_045,70
A08B_1_047,57
A08B_1_055,112
A08B_1_040,66
A08B_1_145,106
A08B_1_187,87
A08B_1_030,43
A08B_1_153,75
A08B_1_027,130
A08B_1_209,70
A08B_1_197,61
A08B_1_213,82
A08B_1_207,78
A08B_1_013,80
A08B_1_210,88
A08B_1_016,191
A08B_1_201,53
A08B_1_003,104
A08B_1_015,56
A08B_1_029,53
A08B_1_028,105
A08B_1_066,98
A08B_1_110,89
A08B_1_139,79
A08B_1_115,74
A08B_1_076,85
A08B_1_103,104
A14E_1_224,112
A14E_1_218,69
A14E_1_332,81
A14E_1_320,26
A14E_1_130,34
A14E_1_285,89
A14E_1_331,101
A14E_1_042,97
A14E_1_324,49
A14E_1_300,110
A14E_1_114,102
A14E_1_313,53
A14E_1_327,117
A14E_1_269,83
A14E_1_027,47
A14E_1_026,70
A14E_1_002,30
A14E_1_171,100
A14E_1_011,72
A18E_2_158,102
A18E_2_159,130
A18E_2_002,105
A18E_2_028,60
A18E_2_113,116
A18E_2_072,135
A18E_2_070,91
A18E_2_058,80
A18E_2_129,100
A18E_2_101,156
A18E_2_062,75
A18E_2_077,80
A18E_2_117,67
A18E_2_091,95
A18E_2_126,80
A18E_2_053,120
A18E_2_086,100
A18E_2_068,100
A18E_2_121,81
A18E_2_109,80
A18E_2_041,76
A18E_2_123,80
A18E_2_025,58
A18E_2_145,56
A18E_2_151,73
A18E_2_026,95
A18E_2_152,62
A18E_2_146,65
A18E_1_064,106
A18E_1_067,65
A18E_1_072,107
A18E_1_102,60
A18E_1_117,70
A18E_1_060,120
A18E_1_162,90
A18E_1_016,57
A18E_1_019,61
A18E_1_132,75
A18E_1_085,44
A18E_1_133,102
A18E_1_127,60
A18E_1_120,128
A18E_1_083,110
A18E_1_135,73
A20E_2_108,88
A20E_2_132,64
A20E_2_133,46
A20E_2_043,111
A20E_2_069,44
A20E_2_001,76
A20E_2_004,132
A20E_2_019,74
A20E_2_029,80
A20E_2_017,132
A20E_2_086,131
A20E_2_084,79
A20E_2_116,83
A08A_1_099,67
A08A_1_060,53
A08A_1_104,122
A08A_1_074,117
A08A_1_114,63
A08A_1_100,71
A08A_1_116,117
A08A_1_159,105
A08A_1_171,51
A08A_1_170,48
A08A_1_166,65
A08A_1_003,84
A08A_1_188,112
A08A_1_162,88
A08A_1_149,68
A08A_1_030,79
A08A_1_151,132
A08A_1_179,119
A08A_1_192,112
A08A_1_027,192
A08A_1_033,92
A08A_1_147,186
A08A_1_190,98
A08A_1_022,199
A08A_1_181,184
A08A_1_154,112
A08A_1_183,122
A08A_1_046,152
A08A_1_044,146
A08A_1_118,76
A08A_1_125,41
A08A_1_096,69
A08A_1_055,75
A08A_1_042,69
A08A_1_043,39
A08D_1_268,150
A08D_1_093,113
A08D_1_294,68
A08D_1_245,252
A08D_1_150,157
A08D_1_233,137
A08D_1_154,146
A08D_1_159,68
A08D_1_258,127
A08D_1_103,114
A16E_2_139,75
A16E_2_142,40
A16E_2_146,90
A16E_2_152,210
A16E_2_149,40
A16E_2_143,40
A16E_2_094,190
A16E_2_093,189
A16E_2_134,40
A16E_2_068,170
A16E_2_040,100
A16E_2_091,40
A16E_2_087,39
A16E_2_160,76
A16E_2_002,75
A16E_2_001,72
A16E_2_003,62
A20E_1_003,90
A20E_1_104,70
A20E_1_075,165
A20E_1_078,124
A20E_1_121,50
A20E_1_055,110
A20E_1_069,80
A20E_1_120,60
A20E_1_122,50
A20E_1_123,100
A20E_1_018,90
A20E_1_030,66
A20E_1_186,80
A20E_1_019,170
A20E_1_191,140
A20E_1_196,60
A20E_1_021,50
A20E_1_009,70
A20E_1_183,84
A17E_2_057,25
A17E_2_171,42
A17E_2_060,157
A17E_2_059,69
A17E_2_164,167
A17E_2_148,71
A17E_2_002,29
A17E_2_026,44
A17E_2_183,128
A17E_2_186,169
A17E_2_007,183
A17E_2_179,102
A17E_2_091,72
A17E_2_051,44
A17E_2_094,26
A17E_2_093,84
A17E_2_095,98
M01E_1_004,90
M01E_1_026,78
M01E_1_027,89
M01E_1_003,72
M01E_1_036,48
M01E_1_074,220
M01E_1_099,70
M01E_1_097,110
M01E_1_098,70
M01E_1_101,176
M01E_1_077,71
M01E_1_051,70
M01E_1_075,120
M01E_1_089,194
M01E_1_080,60
M01E_1_033,259
M01E_1_021,51
M01E_1_022,31
M02E_1_041,50
M02E_1_072,70
M02E_1_062,50
M02E_1_063,60
M02E_1_074,40
M02E_1_005,65
M03E_1_088,61
M03E_1_101,86
M03E_1_100,100
M03E_1_074,125
M03E_1_048,135
M03E_1_058,120
M03E_1_059,220
M03E_1_067,75
M03E_1_099,60
M03E_1_014,121
M03E_1_002,50
M03E_1_006,140
M03E_1_005,130
M03E_1_034,70
M03E_1_021,165
M03E_1_024,70
M03E_1_095,130
M03E_1_054,150
M03E_1_097,239
M03E_1_055,91
M03E_1_086,71
M03E_1_087,80
M03E_1_085,90
M03E_1_126,50
M04E_1_007,68
M04E_1_013,80
M04E_1_003,75
M04E_1_029,120
M04E_1_058,51
M04E_1_052,60
M04E_1_046,50
M04E_1_044,60
M04E_1_041,140
M04E_1_056,60
M04E_1_033,70
M04E_1_023,70
M05E_1_055,101
M05E_1_097,70
M05E_1_054,90
M05E_1_094,60
M05E_1_091,140
M05E_1_090,51
M05E_1_050,107
M05E_1_087,110
M05E_1_079,211
M05E_1_022,140
M05E_1_024,60
M05E_1_031,50
M05E_1_032,70
M05E_1_026,140
M05E_1_003,160
M05E_1_002,70
M05E_1_029,120
M05E_1_004,60
M05E_1_100,141
M05E_1_060,81
M05E_1_048,105
M05E_1_061,154
M05E_1_062,76
M05E_1_099,99
M05E_1_098,91
M05E_1_073,50
M05E_1_059,70
M05E_1_058,81
A07D_1_183,70
A07D_1_236,109
A07D_1_209,185
A07D_1_231,100
A07D_1_232,128
A07D_1_124,76
A07D_1_098,66
A07D_1_091,78
A07D_1_116,75
A07D_1_117,150
A07D_1_062,88
A07D_1_075,101
A07D_1_060,83
A07D_1_101,94
A07D_1_163,250
A07D_1_201,86
A07D_1_005,50
A07D_1_211,110
A07D_1_200,90
A07D_1_171,60
